bhk,area,price_lakh,price_per_sqft,area_per_bhk,region_encoded,type_Independent House,type_Penthouse,type_Studio Apartment,type_Villa,status_Under Construction,age_Resale,age_Unknown,log_price
1,377,28.2,7480.106100795756,377.0,35.39622762535744,False,False,False,False,False,False,False,3.374168709274236
1,382,28.61,7489.528795811519,382.0,35.39622762535744,False,False,False,False,False,False,False,3.3881121421135
1,535,17.65,3299.065420560747,535.0,33.381025598325536,False,False,False,False,True,False,False,2.9258461460898246
1,565,18.64,3299.1150442477874,565.0,33.381025598325536,False,False,False,False,True,False,False,2.97756830292632
1,380,13.68,3600.0,380.0,33.381025598325536,False,False,True,False,True,False,False,2.6864860231863696
1,345,19.91,5771.014492753623,345.0,33.381025598325536,False,False,False,False,False,False,False,3.0402275134405423
1,352,20.5,5823.863636363636,352.0,33.381025598325536,False,False,False,False,False,False,False,3.068052935133617
1,294,16.0,5442.1768707483,294.0,33.381025598325536,False,False,False,False,False,False,False,2.833213344056216
1,366,21.28,5814.207650273224,366.0,33.381025598325536,False,False,False,False,False,False,False,3.1036894150590832
1,333,19.33,5804.804804804804,333.0,33.381025598325536,False,False,False,False,False,False,False,3.012097627640255
1,358,20.89,5835.195530726257,358.0,33.381025598325536,False,False,False,False,False,False,False,3.0860299115347716
1,372,21.67,5825.268817204301,372.0,33.381025598325536,False,False,False,False,False,False,False,3.1210424645194377
1,380,22.06,5805.263157894737,380.0,33.381025598325536,False,False,False,False,False,False,False,3.138099514840913
1,675,30.0,4444.444444444444,675.0,72.81203281300759,False,False,False,False,True,False,False,3.4339872044851463
2,970,42.75,4407.216494845361,485.0,72.81203281300759,False,False,False,False,True,False,False,3.7784916128036232
1,605,26.5,4380.165289256199,605.0,72.81203281300759,False,False,False,False,True,False,False,3.3141860046725258
1,555,24.0,4324.324324324324,555.0,72.81203281300759,False,False,False,False,True,False,False,3.2188758248682006
1,665,29.5,4436.090225563909,665.0,72.81203281300759,False,False,False,False,True,False,False,3.417726683613366
